source_id,vendor,product,title,url,access_date,evidence_scope,notes
K-013,Kong,Kong Gateway,Install Kong Gateway in hybrid mode,https://developer.konghq.com/gateway/install/hybrid/,2026-08-17,"Hybrid deployment prerequisites; control-plane and data-plane installation sequence","Current official documentation; execution still required"
K-014,Kong,Kong Gateway,Topology hosting options,https://developer.konghq.com/gateway/topology-hosting-options/,2026-08-17,"Control-plane and data-plane hosting combinations; customer and vendor ownership boundary","Current official documentation; verify entitlement and geography"
K-015,Kong,Kong Operator,Kong Operator overview,https://developer.konghq.com/operator/,2026-08-17,"Operator role; managed gateway and Kubernetes lifecycle boundary","Current official documentation; exact version and support require revalidation"
G-005,Google,Apigee Hybrid,What is Apigee hybrid version 1.16,https://docs.cloud.google.com/apigee/docs/hybrid/v1.16/what-is-hybrid,2026-08-17,"Version-pinned management/runtime split and hybrid component boundary","Current version-specific official documentation"
MU-004,Salesforce MuleSoft,DataWeave,DataWeave documentation,https://docs.mulesoft.com/dataweave/latest/,2026-08-17,"Data transformation capability and integration-runtime boundary","Current official documentation; not gateway-policy equivalence"
MU-005,Salesforce MuleSoft,Mule Runtime,High availability clusters,https://docs.mulesoft.com/mule-runtime/latest/mule-high-availability-ha-clusters,2026-08-17,"Mule cluster high-availability mechanism and state implications","Current official documentation; topology-specific proof required"
K8S-004,Kubernetes,Kubernetes,Secrets,https://kubernetes.io/docs/concepts/configuration/secret/,2026-08-17,"Secret projection; update behavior; subPath limitation; control design inputs","Official project documentation; not proof of enterprise secret management"
RFC-001,IETF,HTTP,HTTP Semantics RFC 9110,https://www.rfc-editor.org/rfc/rfc9110.html,2026-08-17,"HTTP method semantics; idempotency and retry constraints","Internet Standard; business idempotency still requires domain design"
K-016,Kong,Kong Gateway,Kong Gateway entities,https://developer.konghq.com/gateway/entities/,2026-08-21,"Gateway Service; Route; Consumer; Consumer Group; Plugin; Upstream; Target; Workspace terminology","Official terminology; nearest cross-product analogues are not one-to-one mappings"
K-017,Kong,Kong Gateway,Harness WAAP by Traceable plugin,https://developer.konghq.com/plugins/harness-waap/,2026-08-21,"Third-party plugin mechanism; local Traceable agent dependency; minimum Kong version","Premium Partner plugin maintained by Harness; exact Kong Enterprise 3.14 compatibility still requires confirmation and execution"
K-018,Kong,Kong Konnect,Kong pricing,https://konghq.com/pricing,2026-08-21,"Public Konnect meters and custom Enterprise pricing boundary","Do not use public managed-service meters as the price of the proposed self-managed Enterprise option"
K-019,Kong,Kong Gateway,Install and distribute custom plugins,https://developer.konghq.com/custom-plugins/installation-and-distribution/,2026-08-21,"Custom and third-party plugin packaging across Kong nodes","Exact image; SBOM; version; upgrade; rollback and support evidence remain required"
K-020,Kong,Kong Gateway,Control Plane outage recovery,https://developer.konghq.com/gateway/cp-outage/,2026-08-21,"Optional outage-recovery configuration export and object-storage dependency","Mechanism adds maintenance and security responsibility; it is not executed recovery proof"
G-006,Google,Apigee,Download and upload API proxy configuration bundles,https://docs.cloud.google.com/apigee/docs/api-platform/fundamentals/download-api-proxies,2026-08-21,"Proxy revision export/import and source-control boundary","A proxy bundle excludes products; apps; credentials; KVM; portal; analytics and other organization/runtime state"
G-007,Google,Apigee,API proxy configuration reference,https://docs.cloud.google.com/apigee/docs/api-platform/reference/api-proxy-configuration-reference,2026-08-21,"ProxyEndpoint; TargetEndpoint; policies; resources and bundle structure","Official object semantics; cross-platform conversion still requires representative execution"
G-008,Google,Apigee,Apigee pricing,https://cloud.google.com/apigee/pricing,2026-08-21,"Managed Apigee pay-as-you-go and subscription meter boundary","Public pay-as-you-go does not price Apigee Hybrid; exact option and quote are required"
MU-006,Salesforce MuleSoft,API Manager,API instance overview,https://docs.mulesoft.com/api-manager/latest/api-instance-landing-page,2026-08-21,"Mule API instance terminology and management boundary","Used only for nearest-analogue terminology mapping"
MU-007,Salesforce MuleSoft,Mule Gateway,Gateway policy overview,https://docs.mulesoft.com/mule-gateway/policies-policy-overview,2026-08-21,"Mule policy terminology and enforcement concept","Policy-to-plugin mapping requires semantic tests; names do not prove parity"
MU-008,Salesforce MuleSoft,Anypoint Platform,MuleSoft pricing,https://www.mulesoft.com/anypoint-pricing,2026-08-21,"Public packaging and metering dimensions","Contact-sales pricing; normalized commercial comparison requires an exact quote and full operating model"
TR-001,Harness,Traceable,Traceable Kong,https://docs.traceable.ai/kong,2026-08-22,"Kong plugin; TPA/TME; sync/async; AI extension; failure and payload behavior","E1 documented mechanism only; current canonical public route supersedes the prior /docs/kong register URL; no certified 3.14 result or production outcome"
TR-002,Harness,Traceable,Traceable Kong Konnect,https://docs.traceable.ai/docs/kong-konnect,2026-08-21,"Konnect schema upload and data-plane plugin installation","Older examples; exact supported BOM and topology require vendor confirmation"
TR-003,Harness,Traceable,Rule evaluation support matrix,https://docs.traceable.ai/docs/tracing-agents-rule-evaluation-for-protection,2026-08-21,"Inline and out-of-band protection modes across gateway agents","Matrix is a documented capability boundary; execute equivalent policy and failure cases"
TR-004,Harness,Traceable,Third-party API monitoring support matrix,https://docs.traceable.ai/v1/docs/third-party-monitoring-support-matrix,2026-08-21,"Documented downstream third-party API monitoring differences","A stated Kong gap for this feature is not a verdict on base tracing or overall platform fit"
TR-005,Harness,Traceable,Traceable MuleSoft,https://docs.traceable.ai/docs/mulesoft,2026-08-21,"MuleSoft custom-policy integration and TPA dependency","Use as the security-team baseline; do not assume cross-gateway equivalence"
APIGK-001,Kong,Kong Gateway,Plugin compatibility,https://developer.konghq.com/plugins/compatibility/,2026-08-24,"Topology compatibility of gateway plugins; OAuth 2.0 write-path limitation","Official compatibility matrix; revalidate against the frozen Kong Enterprise 3.14 bill of materials"
APIGK-002,Kong,Kong Gateway,OpenID Connect plugin,https://developer.konghq.com/plugins/openid-connect/,2026-08-24,"External identity-provider integration and token validation options","Documented mechanism only; issuer coexistence and migration behavior require execution"
APIGK-003,Kong,Kong Gateway,OAuth 2.0 Introspection plugin,https://developer.konghq.com/plugins/oauth2-introspection/,2026-08-24,"External token introspection option","Documented mechanism only; latency; outage; revocation and coexistence require execution"
APIGK-004,Kong,Kong Gateway,Consumer Group entity,https://developer.konghq.com/gateway/entities/consumer-group/,2026-08-24,"Consumer grouping and supported plugin policy scope","Not an Apigee API-product or application-lifecycle equivalent"
APIGK-005,Kong,Kong Gateway,Workspace entity,https://developer.konghq.com/gateway/entities/workspace/,2026-08-24,"Self-managed configuration namespace and role-based access control scope","Not an independent lifecycle; control-plane; data-plane; network; placement or jurisdiction boundary"
APIGK-006,Kong,Kong Gateway,Vault entity,https://developer.konghq.com/gateway/entities/vault/,2026-08-24,"Secret-reference entity and supported fields","Not a general mutable key-value store"
APIGK-007,Kong,Kong Gateway,Secrets management,https://developer.konghq.com/gateway/secrets-management/,2026-08-24,"Vault-backed secret reference and rotation boundary","Documented mechanism only; prove loaded-value rotation and failure behavior"
APIGK-008,Kong,Kong Gateway,Rate-limiting strategies,https://developer.konghq.com/gateway/rate-limiting/strategies/,2026-08-24,"Local; cluster and Redis counter topology behavior","Counter semantics and state are topology-dependent; execute reset; failure; scaling and failover cases"
APIGK-009,Kong,Kong Gateway,Proxy Cache plugin,https://developer.konghq.com/plugins/proxy-cache/,2026-08-24,"Node-memory proxy-cache behavior","Configuration can be recreated; live cache entries are not a portable migration artifact"
APIGK-010,Kong,Kong Gateway,Proxy Cache Advanced reference,https://developer.konghq.com/plugins/proxy-cache-advanced/reference/,2026-08-24,"Advanced cache strategy and Redis option","Enterprise capability only; execute cache-key; expiry; cold-start; outage and scaling behavior"
APIGK-011,Kong,Kong Gateway,Custom plugin handler phases,https://developer.konghq.com/custom-plugins/handler.lua/,2026-08-24,"Plugin lifecycle phases and ordering","Apigee flow order is not a direct semantic mapping"
APIGK-012,Kong,Kong Gateway,Plugin entity,https://developer.konghq.com/gateway/entities/plugin/,2026-08-24,"Plugin scope; precedence and configuration model","Conditional execution and ordering must be checked against the frozen target version"
APIGK-013,Kong,decK,Synchronize configuration,https://developer.konghq.com/deck/gateway/sync/,2026-08-24,"Declarative synchronization and deletion of absent target entities","Supports the reviewed-diff and single-authoritative-writer control; not product-enforced ownership"
APIGK-014,Kong,Kong Gateway,Terraform providers,https://developer.konghq.com/terraform/,2026-08-24,"Separate providers for Konnect and self-managed Gateway resources","Define a non-overlapping Terraform and decK ownership boundary"
APIGK-015,Kong,decK,Convert OpenAPI to Kong,https://developer.konghq.com/deck/file/openapi2kong/,2026-08-24,"Seed Services and Routes from an OpenAPI document","Does not migrate policies; credentials; products; applications; quotas or runtime semantics"
APIGK-016,Kong,Kong Gateway,Gateway Service entity,https://developer.konghq.com/gateway/entities/service/,2026-08-24,"Upstream service connectivity metadata","Direct target URL mapping still requires host; path; Transport Layer Security; retry and timeout proof"
APIGK-017,Kong,Kong Gateway,Load-balancing reference,https://developer.konghq.com/gateway/traffic-control/load-balancing-reference/,2026-08-24,"Upstream load balancing and health behavior","Named target-server migration requires exact health; discovery; retry and failure proof"
APIGK-018,Kong,Kong Gateway,Target entity,https://developer.konghq.com/gateway/entities/target/,2026-08-24,"Upstream target host and port","Runtime reachability is not service ownership or business readiness"
APIGK-019,Kong,Kong Gateway,Route entity,https://developer.konghq.com/gateway/entities/route/,2026-08-24,"Request matching and ingress behavior","Host; path; priority; rewrite; fault and negative-route behavior require representative tests"
APIGK-020,Kong,Kong Gateway,Request Callout plugin,https://developer.konghq.com/plugins/request-callout/,2026-08-24,"External HTTP call from a gateway plugin","Evaluate ServiceCallout cases individually for security; latency; payload; timeout and fault semantics"
APIGK-021,Kong,Kong Gateway,Request Transformer plugin,https://developer.konghq.com/plugins/request-transformer/,2026-08-24,"Request transformation capability","Only partial overlap with Apigee AssignMessage; construction and payload behavior may require redesign"
APIGG-001,Google,Apigee,Create API products,https://docs.cloud.google.com/apigee/docs/api-platform/publish/create-api-products,2026-08-24,"Product operations; paths; methods; environments; scopes; quota and access","Inventory exact product semantics before choosing target entities and retained systems"
APIGG-002,Google,Apigee,Register apps and manage credentials,https://docs.cloud.google.com/apigee/docs/api-platform/publish/creating-apps-surface-your-api,2026-08-24,"Application; developer; credential; product approval and expiry lifecycle","Target design must preserve ownership; approval; rotation; revocation and evidence continuity"
APIGG-003,Google,Apigee,API-key verification,https://docs.cloud.google.com/apigee/docs/api-platform/security/api-keys,2026-08-24,"Credential-to-product authorization behavior","Positive and negative authorization parity require executed proof"
APIGG-004,Google,Apigee,Key value maps,https://docs.cloud.google.com/apigee/docs/api-platform/cache/key-value-maps,2026-08-24,"Secret; configuration; lookup and mutable runtime state in key-value maps","Classify every map and entry as secret; static configuration; mutable state or retirement"
APIGG-005,Google,Apigee,Quota policy,https://docs.cloud.google.com/apigee/docs/api-platform/reference/policies/quota-policy,2026-08-24,"Calendar; flexi; rolling and distributed quota semantics","Counter identity; window; reset; distribution; overshoot and failure behavior require execution"
APIGG-006,Google,Apigee,SpikeArrest policy,https://docs.cloud.google.com/apigee/docs/api-platform/reference/policies/spike-arrest-policy,2026-08-24,"Traffic-smoothing behavior","Not equivalent to quota; classify and test separately"
APIGG-007,Google,Apigee,Cache persistence tools,https://docs.cloud.google.com/apigee/docs/api-platform/cache/persistence-tools,2026-08-24,"Environment-scoped cache configuration and dynamic state","Live entries are an intentional-loss or drain decision; not a configuration migration"
APIGG-008,Google,Apigee,Load balance across backend servers,https://docs.cloud.google.com/apigee/docs/api-platform/deploy/load-balancing-across-backend-servers,2026-08-24,"Named target servers and load-balancer behavior","Maps to Kong Upstreams and Targets only after semantic proof"
APIGG-009,Google,Apigee,Flow execution model,https://docs.cloud.google.com/apigee/docs/api-platform/fundamentals/what-are-flows,2026-08-24,"Proxy and Target request/response flow order and conditional flows","Do not treat flow-to-plugin order as direct"
APIGG-010,Google,Apigee,Organize client application ownership with AppGroups,https://docs.cloud.google.com/apigee/docs/api-platform/publish/organizing-client-app-ownership,2026-08-24,"Shared application ownership","Inventory separately from developers; credentials and product authorization"
APIGG-011,Google,Apigee,Monetization overview,https://docs.cloud.google.com/apigee/docs/api-platform/monetization/overview,2026-08-24,"Rate plans and product-linked monetization lifecycle","Requires an explicit retain; replace or retire disposition"
APIGG-012,Google,Apigee,ServiceCallout policy,https://docs.cloud.google.com/apigee/docs/api-platform/reference/policies/service-callout-policy/,2026-08-24,"Outbound calls from proxy flows","Map per use; do not assume Request Callout equivalence without execution"
APIGG-013,Google,Apigee,AssignMessage policy,https://docs.cloud.google.com/apigee/docs/api-platform/reference/policies/assign-message-policy/,2026-08-24,"Message construction and transformation behavior","Classify per use as configure; redesign or custom implementation"
