criterion_id,category,criterion,requirement_type,default_weight,evidence_required,acceptance_test,status
SEC-07,security,Enforces request size content type and schema controls,weighted,4,E1 official source and E3 where material,Evidence demonstrates enforces request size content type and schema controls for the exact deployment variant; limitations and version are recorded,unknown
SEC-08,security,Provides credential and sensitive-field log redaction,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides credential and sensitive-field log redaction for the exact deployment variant; limitations and version are recorded,unknown
SEC-09,security,Provides signed image SBOM vulnerability and patch evidence,weighted,2,E1 official source and E3 where material,Evidence demonstrates provides signed image sbom vulnerability and patch evidence for the exact deployment variant; limitations and version are recorded,unknown
SEC-10,security,Produces immutable administrative and configuration audit events,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates produces immutable administrative and configuration audit events for the exact deployment variant; limitations and version are recorded,unknown
NET-01,network,Supports private ingress and private backend connectivity,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports private ingress and private backend connectivity for the exact deployment variant; limitations and version are recorded,unknown
NET-02,network,Requires only documented least-privilege management and telemetry egress,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates requires only documented least-privilege management and telemetry egress for the exact deployment variant; limitations and version are recorded,unknown
NET-03,network,Supports enterprise proxy private DNS and firewall patterns,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports enterprise proxy private dns and firewall patterns for the exact deployment variant; limitations and version are recorded,unknown
NET-04,network,Preserves trusted client identity and source address where required,weighted,5,E1 official source and E3 where material,Evidence demonstrates preserves trusted client identity and source address where required for the exact deployment variant; limitations and version are recorded,unknown
NET-05,network,Supports inbound and upstream TLS SNI and custom trust stores,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports inbound and upstream tls sni and custom trust stores for the exact deployment variant; limitations and version are recorded,unknown
NET-06,network,Supports HTTP/1.1 HTTP/2 gRPC WebSocket and streaming requirements,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports http/1.1 http/2 grpc websocket and streaming requirements for the exact deployment variant; limitations and version are recorded,unknown
NET-07,network,Provides bounded connect read write and total timeout controls,weighted,4,E1 official source and E3 where material,Evidence demonstrates provides bounded connect read write and total timeout controls for the exact deployment variant; limitations and version are recorded,unknown
NET-08,network,Provides connection pooling keep-alive and circuit protection controls,weighted,5,E1 official source and E3 where material,Evidence demonstrates provides connection pooling keep-alive and circuit protection controls for the exact deployment variant; limitations and version are recorded,unknown
NET-09,network,Operates across overlapping or segmented network domains through approved patterns,weighted,2,E1 official source and E3 where material,Evidence demonstrates operates across overlapping or segmented network domains through approved patterns for the exact deployment variant; limitations and version are recorded,unknown
NET-10,network,Exposes deterministic health and readiness signals to load balancers,weighted,3,E1 official source and E3 where material,Evidence demonstrates exposes deterministic health and readiness signals to load balancers for the exact deployment variant; limitations and version are recorded,unknown
K8S-01,kubernetes,Supports current strategic AKS and Kubernetes versions,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports current strategic aks and kubernetes versions for the exact deployment variant; limitations and version are recorded,unknown
K8S-02,kubernetes,Supports stable Kubernetes Gateway API resources,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports stable kubernetes gateway api resources for the exact deployment variant; limitations and version are recorded,unknown
K8S-03,kubernetes,Separates infrastructure route and policy ownership by role,weighted,4,E1 official source and E3 where material,Evidence demonstrates separates infrastructure route and policy ownership by role for the exact deployment variant; limitations and version are recorded,unknown
K8S-04,kubernetes,Supports namespace-scoped delegation and Kubernetes RBAC,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports namespace-scoped delegation and kubernetes rbac for the exact deployment variant; limitations and version are recorded,unknown
K8S-05,kubernetes,Supports topology spread anti-affinity and zone-aware scheduling,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports topology spread anti-affinity and zone-aware scheduling for the exact deployment variant; limitations and version are recorded,unknown
K8S-06,kubernetes,Supports resource requests limits and horizontal autoscaling,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports resource requests limits and horizontal autoscaling for the exact deployment variant; limitations and version are recorded,unknown
K8S-07,kubernetes,Supports PodDisruptionBudget and graceful termination,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports poddisruptionbudget and graceful termination for the exact deployment variant; limitations and version are recorded,unknown
K8S-08,kubernetes,Supports NetworkPolicy and restricted security contexts,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports networkpolicy and restricted security contexts for the exact deployment variant; limitations and version are recorded,unknown
K8S-09,kubernetes,Supports declarative installation upgrades rollback and drift detection,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports declarative installation upgrades rollback and drift detection for the exact deployment variant; limitations and version are recorded,unknown
K8S-10,kubernetes,Defines vendor support boundaries for CNI mesh ingress and controllers,weighted,3,E1 official source and E3 where material,Evidence demonstrates defines vendor support boundaries for cni mesh ingress and controllers for the exact deployment variant; limitations and version are recorded,unknown
LIFE-01,api-lifecycle,Imports validates and publishes OpenAPI 3.x contracts,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates imports validates and publishes openapi 3.x contracts for the exact deployment variant; limitations and version are recorded,unknown
LIFE-02,api-lifecycle,Detects breaking API contract changes before promotion,weighted,3,E1 official source and E3 where material,Evidence demonstrates detects breaking api contract changes before promotion for the exact deployment variant; limitations and version are recorded,unknown
LIFE-03,api-lifecycle,Supports version revision deprecation and retirement lifecycle,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports version revision deprecation and retirement lifecycle for the exact deployment variant; limitations and version are recorded,unknown
LIFE-04,api-lifecycle,Supports API products plans subscriptions and consumer applications,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports api products plans subscriptions and consumer applications for the exact deployment variant; limitations and version are recorded,unknown
LIFE-05,api-lifecycle,Supports internal partner and public discovery experiences,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports internal partner and public discovery experiences for the exact deployment variant; limitations and version are recorded,unknown
LIFE-06,api-lifecycle,Supports delegated API ownership with central standards,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports delegated api ownership with central standards for the exact deployment variant; limitations and version are recorded,unknown
LIFE-07,api-lifecycle,Supports automated policy and standard enforcement,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports automated policy and standard enforcement for the exact deployment variant; limitations and version are recorded,unknown
LIFE-08,api-lifecycle,Supports sandbox and mock onboarding journeys,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports sandbox and mock onboarding journeys for the exact deployment variant; limitations and version are recorded,unknown
LIFE-09,api-lifecycle,Supports consumer credential issuance rotation revocation and audit,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports consumer credential issuance rotation revocation and audit for the exact deployment variant; limitations and version are recorded,unknown
LIFE-10,api-lifecycle,Exports catalog product consumer and lifecycle metadata,weighted,3,E1 official source and E3 where material,Evidence demonstrates exports catalog product consumer and lifecycle metadata for the exact deployment variant; limitations and version are recorded,unknown
OPS-01,apiops,Stores routes policies and API definitions as reviewable code,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates stores routes policies and api definitions as reviewable code for the exact deployment variant; limitations and version are recorded,unknown
OPS-02,apiops,Validates configuration without changing a live gateway,weighted,3,E1 official source and E3 where material,Evidence demonstrates validates configuration without changing a live gateway for the exact deployment variant; limitations and version are recorded,unknown
OPS-03,apiops,Produces a deterministic diff before promotion,weighted,4,E1 official source and E3 where material,Evidence demonstrates produces a deterministic diff before promotion for the exact deployment variant; limitations and version are recorded,unknown
OPS-04,apiops,Supports immutable artifact promotion across environments,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports immutable artifact promotion across environments for the exact deployment variant; limitations and version are recorded,unknown
OPS-05,apiops,Prevents concurrent or conflicting configuration writers,weighted,2,E1 official source and E3 where material,Evidence demonstrates prevents concurrent or conflicting configuration writers for the exact deployment variant; limitations and version are recorded,unknown
OPS-06,apiops,Supports automated functional security and policy tests,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports automated functional security and policy tests for the exact deployment variant; limitations and version are recorded,unknown
OPS-07,apiops,Supports approval and segregation-of-duties controls,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports approval and segregation-of-duties controls for the exact deployment variant; limitations and version are recorded,unknown
OPS-08,apiops,Supports fast tested rollback to an identified version,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports fast tested rollback to an identified version for the exact deployment variant; limitations and version are recorded,unknown
OPS-09,apiops,Detects and reconciles out-of-band drift,weighted,2,E1 official source and E3 where material,Evidence demonstrates detects and reconciles out-of-band drift for the exact deployment variant; limitations and version are recorded,unknown
OPS-10,apiops,Records commit artifact actor approver outcome and runtime identity,weighted,3,E1 official source and E3 where material,Evidence demonstrates records commit artifact actor approver outcome and runtime identity for the exact deployment variant; limitations and version are recorded,unknown
POL-01,traffic-policy,Enforces per-consumer route and service rate limits,weighted,2,E1 official source and E3 where material,Evidence demonstrates enforces per-consumer route and service rate limits for the exact deployment variant; limitations and version are recorded,unknown
POL-02,traffic-policy,Supports distributed rate-limit consistency when required,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports distributed rate-limit consistency when required for the exact deployment variant; limitations and version are recorded,unknown
POL-03,traffic-policy,Defines fail-open or fail-closed behavior for counter-store failure,weighted,4,E1 official source and E3 where material,Evidence demonstrates defines fail-open or fail-closed behavior for counter-store failure for the exact deployment variant; limitations and version are recorded,unknown
POL-04,traffic-policy,Supports quotas and product-specific usage plans,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports quotas and product-specific usage plans for the exact deployment variant; limitations and version are recorded,unknown
POL-05,traffic-policy,Supports bounded retries with idempotency-aware controls,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports bounded retries with idempotency-aware controls for the exact deployment variant; limitations and version are recorded,unknown
POL-06,traffic-policy,Supports timeout circuit-breaker and upstream health behavior,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports timeout circuit-breaker and upstream health behavior for the exact deployment variant; limitations and version are recorded,unknown
POL-07,traffic-policy,Supports weighted canary and version routing,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports weighted canary and version routing for the exact deployment variant; limitations and version are recorded,unknown
POL-08,traffic-policy,Supports deterministic request and response header transformations,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports deterministic request and response header transformations for the exact deployment variant; limitations and version are recorded,unknown
POL-09,traffic-policy,Provides correlation ID generation and propagation,weighted,2,E1 official source and E3 where material,Evidence demonstrates provides correlation id generation and propagation for the exact deployment variant; limitations and version are recorded,unknown
POL-10,traffic-policy,Supports policy composition without embedded domain business logic,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports policy composition without embedded domain business logic for the exact deployment variant; limitations and version are recorded,unknown
OBS-01,observability,Exports request rate errors and duration with gateway and upstream latency,weighted,2,E1 official source and E3 where material,Evidence demonstrates exports request rate errors and duration with gateway and upstream latency for the exact deployment variant; limitations and version are recorded,unknown
OBS-02,observability,Propagates W3C trace context and correlation identifiers,weighted,3,E1 official source and E3 where material,Evidence demonstrates propagates w3c trace context and correlation identifiers for the exact deployment variant; limitations and version are recorded,unknown
OBS-03,observability,Exports metrics and traces through open standards,weighted,4,E1 official source and E3 where material,Evidence demonstrates exports metrics and traces through open standards for the exact deployment variant; limitations and version are recorded,unknown
OBS-04,observability,Provides structured access and operational logs,weighted,5,E1 official source and E3 where material,Evidence demonstrates provides structured access and operational logs for the exact deployment variant; limitations and version are recorded,unknown
OBS-05,observability,Reports control-plane data-plane sync age and configuration identity,weighted,2,E1 official source and E3 where material,Evidence demonstrates reports control-plane data-plane sync age and configuration identity for the exact deployment variant; limitations and version are recorded,unknown
OBS-06,observability,Reports certificate license and credential expiry,weighted,3,E1 official source and E3 where material,Evidence demonstrates reports certificate license and credential expiry for the exact deployment variant; limitations and version are recorded,unknown
OBS-07,observability,Controls metric cardinality sampling retention and telemetry cost,weighted,4,E1 official source and E3 where material,Evidence demonstrates controls metric cardinality sampling retention and telemetry cost for the exact deployment variant; limitations and version are recorded,unknown
OBS-08,observability,Buffers or degrades safely when telemetry destinations fail,weighted,5,E1 official source and E3 where material,Evidence demonstrates buffers or degrades safely when telemetry destinations fail for the exact deployment variant; limitations and version are recorded,unknown
OBS-09,observability,Integrates with enterprise SIEM APM and alert management,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates integrates with enterprise siem apm and alert management for the exact deployment variant; limitations and version are recorded,unknown
OBS-10,observability,Supports tenant-aware dashboards and least-privilege log access,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports tenant-aware dashboards and least-privilege log access for the exact deployment variant; limitations and version are recorded,unknown
RES-01,resilience-performance,Meets representative throughput and tail-latency objectives,weighted,2,E1 official source and E3 where material,Evidence demonstrates meets representative throughput and tail-latency objectives for the exact deployment variant; limitations and version are recorded,unknown
RES-02,resilience-performance,Meets SLO while losing one allowed replica node or zone,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates meets slo while losing one allowed replica node or zone for the exact deployment variant; limitations and version are recorded,unknown
RES-03,resilience-performance,Recovers predictably from pod and node failure,weighted,4,E1 official source and E3 where material,Evidence demonstrates recovers predictably from pod and node failure for the exact deployment variant; limitations and version are recorded,unknown
RES-04,resilience-performance,Supports controlled horizontal scale-out within the required time,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports controlled horizontal scale-out within the required time for the exact deployment variant; limitations and version are recorded,unknown
RES-05,resilience-performance,Supports zero or bounded-downtime upgrades and rollback,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports zero or bounded-downtime upgrades and rollback for the exact deployment variant; limitations and version are recorded,unknown
RES-06,resilience-performance,Survives control-plane or configuration-endpoint interruption,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates survives control-plane or configuration-endpoint interruption for the exact deployment variant; limitations and version are recorded,unknown
RES-07,resilience-performance,Supports documented backup restore and disaster recovery,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports documented backup restore and disaster recovery for the exact deployment variant; limitations and version are recorded,unknown
RES-08,resilience-performance,Handles DNS identity PKI and telemetry dependency failure safely,weighted,5,E1 official source and E3 where material,Evidence demonstrates handles dns identity pki and telemetry dependency failure safely for the exact deployment variant; limitations and version are recorded,unknown
RES-09,resilience-performance,Supports soak burst and overload protection without cascading failure,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports soak burst and overload protection without cascading failure for the exact deployment variant; limitations and version are recorded,unknown
RES-10,resilience-performance,Provides capacity signals and a reproducible sizing method,weighted,3,E1 official source and E3 where material,Evidence demonstrates provides capacity signals and a reproducible sizing method for the exact deployment variant; limitations and version are recorded,unknown
SUP-01,operations-support,Provides a clear vendor and customer responsibility matrix,weighted,2,E1 official source and E3 where material,Evidence demonstrates provides a clear vendor and customer responsibility matrix for the exact deployment variant; limitations and version are recorded,unknown
SUP-02,operations-support,Provides enterprise support coverage and escalation objectives,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides enterprise support coverage and escalation objectives for the exact deployment variant; limitations and version are recorded,unknown
SUP-03,operations-support,Supports approved release cadence and version support windows,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports approved release cadence and version support windows for the exact deployment variant; limitations and version are recorded,unknown
SUP-04,operations-support,Provides security advisory and emergency patch processes,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides security advisory and emergency patch processes for the exact deployment variant; limitations and version are recorded,unknown
SUP-05,operations-support,Provides diagnostic bundles that can be sanitized,weighted,2,E1 official source and E3 where material,Evidence demonstrates provides diagnostic bundles that can be sanitized for the exact deployment variant; limitations and version are recorded,unknown
SUP-06,operations-support,Supports automated fleet inventory and version visibility,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports automated fleet inventory and version visibility for the exact deployment variant; limitations and version are recorded,unknown
SUP-07,operations-support,Provides operational runbooks for common and severe failures,weighted,4,E1 official source and E3 where material,Evidence demonstrates provides operational runbooks for common and severe failures for the exact deployment variant; limitations and version are recorded,unknown
SUP-08,operations-support,Has an achievable staffing skill and on-call model,weighted,5,E1 official source and E3 where material,Evidence demonstrates has an achievable staffing skill and on-call model for the exact deployment variant; limitations and version are recorded,unknown
SUP-09,operations-support,Supports joint incident exercises across vendor and organizational boundaries,weighted,2,E1 official source and E3 where material,Evidence demonstrates support for joint incident exercises across vendor and organizational boundaries for the exact deployment variant; limitations and version are recorded,unknown
SUP-10,operations-support,Provides transparent roadmap deprecation and end-of-support notices,weighted,3,E1 official source and E3 where material,Evidence demonstrates provides transparent roadmap deprecation and end-of-support notices for the exact deployment variant; limitations and version are recorded,unknown
MIG-01,mule-migration,Supports gateway-policy parity for selected Mule APIs,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports gateway-policy parity for selected mule apis for the exact deployment variant; limitations and version are recorded,unknown
MIG-02,mule-migration,Supports strangler routing without consumer contract changes,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports strangler routing without consumer contract changes for the exact deployment variant; limitations and version are recorded,unknown
MIG-03,mule-migration,Allows complex DataWeave to move outside gateway policy,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates allows complex dataweave to move outside gateway policy for the exact deployment variant; limitations and version are recorded,unknown
MIG-04,mule-migration,Supports coexistence with Mule-hosted backends,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports coexistence with mule-hosted backends for the exact deployment variant; limitations and version are recorded,unknown
MIG-05,mule-migration,Supports PCF-to-AKS backend cutover behind a stable facade,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports pcf-to-aks backend cutover behind a stable facade for the exact deployment variant; limitations and version are recorded,unknown
MIG-06,mule-migration,Provides golden contract and behavior test integration,weighted,3,E1 official source and E3 where material,Evidence demonstrates provides golden contract and behavior test integration for the exact deployment variant; limitations and version are recorded,unknown
MIG-07,mule-migration,Supports consumer credential and subscription migration,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports consumer credential and subscription migration for the exact deployment variant; limitations and version are recorded,unknown
MIG-08,mule-migration,Supports audit and analytics continuity during cutover,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports audit and analytics continuity during cutover for the exact deployment variant; limitations and version are recorded,unknown
MIG-09,mule-migration,Supports per-workload rollback and reconciliation,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports per-workload rollback and reconciliation for the exact deployment variant; limitations and version are recorded,unknown
MIG-10,mule-migration,Supports dependency evidence and safe Mule decommission,weighted,3,E1 official source and E3 where material,Evidence demonstrates supports dependency evidence and safe mule decommission for the exact deployment variant; limitations and version are recorded,unknown
COM-01,commercial-strategy,Provides transparent licensing units and metering definitions,weighted,2,E1 official source and E3 where material,Evidence demonstrates provides transparent licensing units and metering definitions for the exact deployment variant; limitations and version are recorded,unknown
COM-02,commercial-strategy,Provides a three-to-five-year TCO model with growth sensitivity,weighted,3,E1 official source and E3 where material,Evidence demonstrates provides a three-to-five-year tco model with growth sensitivity for the exact deployment variant; limitations and version are recorded,unknown
COM-03,commercial-strategy,Provides contractual availability support and service-credit terms,weighted,4,E1 official source and E3 where material,Evidence demonstrates provides contractual availability support and service-credit terms for the exact deployment variant; limitations and version are recorded,unknown
COM-04,commercial-strategy,Provides acceptable data residency privacy and subprocessor terms,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides acceptable data residency privacy and subprocessor terms for the exact deployment variant; limitations and version are recorded,unknown
COM-05,commercial-strategy,Provides acceptable audit compliance and regulatory evidence,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides acceptable audit compliance and regulatory evidence for the exact deployment variant; limitations and version are recorded,unknown
COM-06,commercial-strategy,Provides price protection and nonproduction disaster-recovery terms,weighted,3,E1 official source and E3 where material,Evidence demonstrates provides price protection and nonproduction disaster-recovery terms for the exact deployment variant; limitations and version are recorded,unknown
COM-07,commercial-strategy,Provides a feasible procurement and environment lead time,weighted,4,E1 official source and E3 where material,Evidence demonstrates provides a feasible procurement and environment lead time for the exact deployment variant; limitations and version are recorded,unknown
COM-08,commercial-strategy,Provides exit assistance configuration export and data deletion terms,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides exit assistance configuration export and data deletion terms for the exact deployment variant; limitations and version are recorded,unknown
COM-09,commercial-strategy,Limits proprietary policy and workflow lock-in,weighted,2,E1 official source and E3 where material,Evidence demonstrates limits proprietary policy and workflow lock-in for the exact deployment variant; limitations and version are recorded,unknown
COM-10,commercial-strategy,Aligns cost with measured business and operational value,weighted,3,E1 official source and E3 where material,Evidence demonstrates aligns cost with measured business and operational value for the exact deployment variant; limitations and version are recorded,unknown
